"organization_id","name"
"5061","Alta Irrigation District"
"5063","Association of Orange County Deputy Sheriffs"
"5064","Anaheim Police Officers Association"
"5066","State Coalition of Probation Organizations"
"5068","Howard Jarvis Taxpayers Association"
"5069","Orange County Taxpayers Association"
"5071","Amador Water Agency"
"5075","Mountain Counties Water Resources Association"
"5076","Placer County Water Agency"
"5078","Yuba County Water Agency"
"5079","Central Sierra Environmental Resource Center"
"5083","Planning and Conservation League"
"5089","Environment California (source)"
"5094","United Nurses Associations of California/Union of Health Care"
"5099","California Healthcare Association"
"5101","Community Hospital of San Bernardino"
"5102","Dominican Hospital"
"5103","Glendale Memorial Hospital and Health Center"
"5106","Mercy Medical Center Redding"
"5107","Northridge Hospital Medical Center, Sherman Way Campus"
"5108","Oak Valley Hospital District"
"5109","Saint Agnes Medical Center"
"5111","St. Elizabeth Community Hospital"
"5113","St. Joseph Health System - Humboldt County"
"5114","St. Joseph Health System - Sonoma County"
"5116","St. Jude Medical Center"
"5117","St. Vincent Medical Center"
"5118","Sequoia Hospital"
"5119","Sierra Nevada Memorial Hospital"
"5120","The California Manufacturers and"
"5126","Veterans for a Better Government"
"5129","California Association of Alcohol and Drug Program"
"5131","California Mental Health Directors Association"
"5132","California Psychiatric Association"
"5133","Living Word Christian Center International"
"5134","National Council on Alcoholism and Drug Dependence of the"
"5135","South Bay"
"5136","Urban Counties Caucus"
"5138","1 individual"
"5139","Attorney Service of San Francisco"
"5141","California Association of Health Plans"
"5143","ClearPrint"
"5144","Greenberg & Jackson: An Accountancy Corporation"
"5145","Health Net"
"5147","Instant Court Reporting"
"5148","Realty World Broker Network"
"5149","Richard Berman Software Technology Service"
"5150","79 individuals"
"5152","Automotive Aftermarket Services"
"5154","Biocom (San Diego)"
"5155","Building Industry Association of Tulare/Kings Counties"
"5156","Burnham Real Estate Services, Inc."
"5157","California Association of Independent Business, Inc."
"5158","California Business Properties Association"
"5159","California Chamber of Commerce"
"5160","California Industrial Services"
"5161","California Manufacturers and Technology Association"
"5162","CancerVax Corporation"
"5163","Central California Chamber Alliance"
"5164","Chico Chamber of Commerce"
"5165","Community Interface Services"
"5166","Creative Elegance (South El Monte)"
"5168","Encinitas Chamber of Commerce"
"5169","Flite Co. -Flight Management Services)"
"5170","Frontier Trading, Inc."
"5171","Gen-Probe Incorporated"
"5172","GRAYLIFT"
"5173","Greater Bakersfield Chamber of Commerce"
"5174","Greater Fresno Area Chamber of Commerce"
"5175","GreenfiX America (Calipatria)"
"5176","Guardian Industries, Corp."
"5178","Irvine Chamber of Commece"
"5179","Kas Engineering, Inc. (Santa Monica)"
"5180","Ken & Carol Maul, Realty Concepts"
"5181","L.W. Lefort -Engineers, Designers, Fabricators"
"5182","Lennar Partners"
"5183","Los Angeles County Board of Supervisors -Supports in part."
"5184","Luggage & Leather Goods"
"5185","Lumber Association of California and Nevada"
"5186","M & B Paper Products, Inc."
"5187","Modesto Chamber of Commerce"
"5190","Oasis Date Gardens (Thermanl)"
"5191","Pacific Home Do it Center (San Luis Obispo)"
"5192","Palm Desert Chamber of Commerce"
"5193","Paul Besselievre"
"5194","Redondo Beach Chamber of Commerce"
"5195","Senate Committee on Labor and Industrial Relations"
"5197","Robinson Manufacturing Inc."
"5198","Roseville Chamber of Commerce"
"5199","San Diego Regional Economic Development Corporation"
"5200","Santa Fe Springs Chamber of Commerce & Industrial League,"
"5202","Sun Valley Floral Farms"
"5203","Tulare Chamber of Commerce"
"5204","United Chambers of Commerce of the San Fernando Valley"
"5205","Valley Security + Alarm"
"5206","Ventura Chamber of Commerce"
"5207","Victorville Chamber of Commerce"
"5208","Vivaldi Consulting Group LLC"
"5210","Winterhaven Ranch (Huntington Beach)"
"5214","California Conference Board of the Amalgamated Transit"
"5216","California Conference of Machinists"
"5218","California Independent Public Employees Legislative Council"
"5220","California Professional Firefighters"
"5221","California Rural Legal Assistance Foundation"
"5224","Consumer Attorneys of California"
"5225","Engineers and Scientist of California, IFPTE Local 20,"
"5227","Hotel Employees & Restaurant Employees International Union"
"5228","Professional and Technical Engineers, IFPTE Local 21,"
"5229","Service Employees International Union"
"5230","United Food & Commercial Workers Region 8 States Council"
"5231","Associated Builders and Contractors of California"
"5233","Western Electrical Contractors Association, Inc."
"5234","California Independent Public Employee Legislative Council"
"5237","Greater Riverside Chambers of Commerce"
"5238","Irvine Chamber of Commerce"
"5239","CalTax"
"5240","California Tax Reform Association"
"5246","Senate Republican Caucus"
"5247","Attorney General"
"5248","American Lung Association of California"
"5249","California Independent Grocers and Convenience Stores"
"5253","California Language Teachers Association"
"5254","Faculty Association of California Community Colleges"
"5255","Department of Finance"
"5256","Trusts and Estates Section of the State Bar of California"
"5258","Congress of California Seniors"
"5259","Coalition for Quality Credit Counseling"
"5260","Privacy Rights Clearinghouse"
"5261","California Association of Clerks and Election Officials"
"5262","California Foundation for Independent Living Centers"
"5264","California Building Industry Association"
"5265","Californians for Disability Rights, Inc."
"5266","Fair Housing of Marin"
"5267","Housing California"
"5269","Sacramento Housing Alliance"
"5270","Southern California Housing Rights Center"
"5271","State Attorney General"
"5272","Western Center on Law and Poverty"
"5273","Western United Dairymen"
"5277","California Bankers Association"
"5281","Los Angeles County Federation of Labor"
"5282","Dairy Institute"
"5283","Kraft Foods North America"
"5284","Agricultural Council of California"
"5285","Alliance of Western Milk Producers"
"5286","California Dairy Campaign"
"5287","California Dairy Women Association"
"5288","California Farmers Union"
"5289","Community Alliance With Family Farmers"
"5291","Fifteen Individuals"
"5292","City of West Sacramento"
"5293","Los Angeles County Board of Education"
"5294","California Dump Truck Owners Association"
"5295","California Tow Trucking Association"
"5296","California Trucking Association"
"5298","Los Angeles Alliance for a New Economy"
"5300","Costco Wholesale"
"5301","L.A. Fitness International, LLC"
"5303","Mark Development"
"5306","California Assessors Association (source)"
"5307","State Department of Finance"
"5310","California Youth Connection"
"5311","Hon. Muriel P. Johnson, Supervisor, Sacramento County"
"5312","Mansfield Ink"
"5313","One individual"
"5314","State Board of Equalization (source)"
"5315","Franchise Tax Board (source)"
"5319","State Franchise Tax Board (source)"
"5320","Franchise Tax Board"
"5321","State Treasurer Phil Angelides (source)"
"5323","California Attorneys of California"
"5324","Engineers and Scientists of California"
"5325","United Food and Commercial Workers, Region 8 States Council"
"5326","Hotel Employees, Restaurant Employees International Union"
"5327","Professional and Technical Engineers, Local 20 & 21"
"5328","PORAC"
"5329","California Association of Highway Patrolmen"
"5332","State Department of Forestry Firefighters."
"5333","CA Federation of Republican Women"
"5334","CA Special Districts Association"
"5336","North Coast Railroad Authority [SPONSOR]"
"5337","California Coalition of Fuel Cell Manufactures"
"5338","Clean Power Campaign"
"5341","California Manufactures and Technology Association (CMTA)"
"5342","California Power Partners"
"5343","Capstone Turbine Corporation"
"5344","Carrier Corporation"
"5345","Clarus Energy"
"5347","Edward B. Ward Company"
"5348","Gas Turbine Association"
"5351","Valley Detroit Diesel Allison"
"5353","United Technologies Corporation"
"5355","Engine Manufacturers Association"
"5357","Renewable Energy Investments"
"5358","US Airconditioning Distributors"
"5359","San Leandro Branch of Carrier Corporations"
"5360","State Department of Finance (source)"
"5361","Secretary of State"
"5363","California Association of Homes and Services for the Aging"
"5364","California Continuing Care Residents Association"
"5365","Health Rights Hotline"
"5366","Board of Podiatric Medicine"
"5367","California Association of Bioanalysts"
"5368","California Clinical Laboratory Association"
"5369","Palo Alto Medical Foundation"
"5370","Board of Behavioral Sciences"
"5371","California Society of Pathologists"
"5372","State Department of Consumer Affairs (source)"
"5377","Ability First"
"5384","Asian Pacific Policy & Planning Council"
"5389","Barrio Planners Inc."
"5390","Bassett Unified School District"
"5391","California Academy of Family Physicians"
"5392","California Ambulance Association"
"5393","California Association of Physician Groups California"
"5396","California Catholic Conference"
"5397","California Council on Alcohol Problems"
"5398","California Emergency Nurses Association"
"5401","California Society of Anesthesiologists, Inc."
"5402","CHARO Community Development Corp."
"5404","City of Huntington Park"
"5405","City of La Puente"
"5407","East Los Angeles Community Youth Center"
"5409","Emergency Medical Services"
"5413","Hacienda La Puente Unified School District"
"5416","Imperial County Medical Society"
"5417","International Brotherhood of Electrical"
"5418","Workers Local Union 11"
"5421","Los Angeles County Board of Supervisors"
"5422","Maravilla Community Advisory Committee"
"5423","Motion Picture Studio Grips, Local 80"
"5424","Napa County Medical Society"
"5425","Painters & Allied Trades District Council 36"
"5426","Plaza Community Center"
"5427","Riverside Sheriffs Association"
"5432","Sierra Sacramento Valley Medical Society"
"5433","Solano County Medical Society"
"5434","Sonoma County Medical Association"
"5435","TELACU"
"5436","Tri-City Mental Health Center"
"5437","Seven individuals"
"5440","Bay Area Beverage Company"
"5443","California Alliance for Consumer Protection California"
"5446","California Beer & Beverage Distributors"
"5447","California Beverage Merchants"
"5449","California Hotel and Lodging Association"
"5454","California Restaurant Association"
"5456","California Small Brewers Association"
"5457","Central Coast Distributing"
"5459","Couch Distributing Company, Inc."
"5462","Family Winemakers of California"
"5463","Gate City Beverage"
"5464","Golden Gate Restaurant Association"
"5466","House of Daniels, Inc."
"5471","Mission Beverage Co."
"5472","Nor-Cal Beverage Co., Inc."
"5473","Otra Beer"
"5474","Recovery California Coalition"
"5477","Stash Distributing, Inc."
"5479","Tri-Eagle Beverage"
"5480","V. Santoni & Company"
"5482","Four Individuals"
"5484","Medical Board of California"
"5485","State Board of Accountancy"
"5486","Blood Centers of California (source)"
"5487","Bio-Medics Plasma Center"
"5488","Cangene Plasma Centers"
"5489","Contra Costa County Board of Supervisors"
"5490","Office of the State Attorney General"
"5491","California Highway Patrol"
"5492","Orange County Transportation Authority"
"5493","Metropolitan Transportation Commission"
"5494","California Fire Chiefs Association"
"5495","Fire Districts Association of California"
"5496","California State Automobile Association"
"5497","City of Palo Alto"
"5498","Stanford University"
"5499","Association of Independent California Colleges and Universities"
"5500","Surface Transportation Policy Project (source)"
